text,title
"YouTube Subscriptions","YouTube Subscriptions"
Flux,Flux,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCN7dywl5wDxTu1RM3eJ_h9Q
Osmosis,Osmosis,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCNI0qOojpkhsUtaQ4_2NUhQ
"Arxiv Insights","Arxiv Insights",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCNIkB2IeJ-6AmZv7bQ1oBYg
"Sotheby's International Realty","Sotheby's International Realty",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCNZ3t1dMKJGl6-kV9BD5Lqg
"Christian Theobalt","Christian Theobalt",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCNdXGCWZ6oZqbt5Y12L9inw
Alux.com,Alux.com,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCNjPtOCvMrKY5eLwr_-7eUg
NourFoundation,NourFoundation,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCNoH5Qp5PffUB3qM984_j-Q
"Inside Silicon Valley","Inside Silicon Valley",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCNwGoeALqan8yu_TC6f3ZRw
"Satyamev Jayate","Satyamev Jayate",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCOAeVVRnqh0sYFKvFo-tERA
DARPAtv,DARPAtv,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCOIHBHRbvncMo7Bf0Vx1zEQ
"Blender Guru","Blender Guru",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCOKHwx1VCdgnxwbjyb9Iu1g
"Careers and Personal Finance by Khan Academy","Careers and Personal Finance by Khan Academy",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCOiYCGQWffmosWFxwAm7ABw
PyData,PyData,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCOjD18EJYcsBog4IozkF_7w
BLACKPINK,BLACKPINK,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCOmHUn--16B90oW2L6FRR3A
MEDSimplified,MEDSimplified,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCOmrniWfKi-uCD6Oh6fqhgw
Firebase,Firebase,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCP4bf6IHJJQehibu6ai__cg
DeepMind,DeepMind,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCP7jMXSY2xbc3KCAE0MHQ-A
BigMotherDotAI,BigMotherDotAI,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCPHRTiG0k7CrlVQUXbT4uzg
"Dr. Najeeb Lectures","Dr. Najeeb Lectures",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCPHpx55tgrbm8FrYYCflAHw
"Facebook Developers","Facebook Developers",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCP_lo1MFyx5IXDeD9s_6nUw
HASSELL,HASSELL,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCPaaFfxQQLx2pD8BPbMUBYw
"MIT Bootcamps","MIT Bootcamps",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCPonD0FH2WNnEXyTsYiLWMw
"Association for Computing Machinery (ACM)","Association for Computing Machinery (ACM)",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCPyA0XmU6aS4JCwVoIBTmIQ
Stadia,Stadia,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCQKyy9Wl7hsVn1BP7BC53Yg
"McKinsey & Company","McKinsey & Company",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCQMqUlg362Hhar_iCZ9tcjQ
"Dynamic Vision and Learning Group","Dynamic Vision and Learning Group",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCQVCsX1CcZQr0oUMZg6szIQ
GameofThrones,GameofThrones,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCQzdMyuz0Lf4zo4uGcEujFw
OECD,OECD,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCR-Ja1yBcjkhuQblxnroZJg
VideoSparkNotes,VideoSparkNotes,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCR14DE0k0V3QCwafzEI1CvQ
melodysheep,melodysheep,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCR9sFzaG9Ia_kXJhfxtFMBA
katkimshow,katkimshow,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCRCdl2SXma02BG384RuZPqg
"Gaurav Sen","Gaurav Sen",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCRPMAqdtSgd0Ipeef7iFsKw
"All Things JavaScript, LLC","All Things JavaScript, LLC",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCRQhZGXC0WK85YRXl7nGX0w
Futurism,Futurism,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCRSa16N_0dpnFXgUI1fGoSw
"Siddharth Warrier","Siddharth Warrier",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCR_Tzu1r5M9uoNB3CF4Zg3g
"TWiST Clips","TWiST Clips",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCS7tJlcUA6PzVHEMo-X7ddg
"Lex Fridman","Lex Fridman",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCSHZKyawb77ixDdsGog4iWA
Academind,Academind,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCSJbGtTlrDami-tDGPUV9-w
Blender,Blender,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCSMOQeBJ2RAnuFungnQOxLg
Novartis,Novartis,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCSg28bDoEVjVegY4-htQM7A
"MIT Institute for Data, Systems, and Society","MIT Institute for Data, Systems, and Society",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCSlhlkPaq3RL1CP0Tv1xWBQ
"AWS Online Tech Talks","AWS Online Tech Talks",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCT-nPlVzJI-ccQXlxjSvJmw
"VLSI Physical Design","VLSI Physical Design",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCTSQnoUHhScO2ceUfqRHaKw
"Dennis Ivy","Dennis Ivy",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCTZRcDjjkVajGL6wd76UnGg
"MINT Nursing","MINT Nursing",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCT_Z81rkTimutr-vbm8sA4g
"US Auto Industry","US Auto Industry",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCTdLvmSFokrAtp1ZtP-HhSw
